MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928576	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928577	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928578	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928579	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928580	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928581	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928582	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928583	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928584	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928585	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928586	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928587	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928588	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928589	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928590	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928591	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928592	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928593	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928594	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928595	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928596	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928597	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928598	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928599	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928600	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928601	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928602	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928603	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928604	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928605	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
